순위,종목명,종목코드,현재가,PER,PBR,ROE(%),BPS,거래량급증,거래량비율
1,KC그린홀딩스,009440,756,0.46,0.11,23.913043478260867,7136,False,
2,서연,007860,10780,1.75,0.29,16.57142857142857,37694,False,0.68
3,케이비아이동국실업,001620,594,2.59,0.3,11.583011583011583,1991,False,1.39
4,세아제강,306200,127100,2.6,0.32,12.307692307692307,397327,False,0.53
5,한익스프레스,014130,2865,2.02,0.34,16.831683168316832,8308,False,0.44
6,한국가스공사,036460,42000,3.19,0.34,10.65830721003135,124079,False,0.66
7,삼정펄프,009770,35350,2.33,0.34,14.592274678111588,103335,False,0.82
8,NPC,004250,3910,2.07,0.34,16.425120772946862,11496,False,0.37
9,한진중공업홀딩스,003480,5170,2.39,0.35,14.644351464435147,14905,True,1.78
10,흥국화재,000540,4400,3.02,0.37,12.251655629139073,11857,True,2.83
11,서연이화,200880,15400,2.83,0.38,13.427561837455832,40698,False,0.3
12,서원,021050,1251,1.2,0.39,32.5,3209,False,0.17
13,현대코퍼레이션홀딩스,227840,13560,2.8,0.4,14.285714285714288,33621,True,1.61
14,호전실업,111110,8070,3.15,0.4,12.698412698412701,19955,False,0.6
15,GS글로벌,001250,2585,3.93,0.4,10.178117048346056,6449,True,1.66
16,한화손해보험,000370,7560,3.56,0.41,11.516853932584269,18660,True,1.6
17,한국무브넥스,010100,5260,3.58,0.42,11.731843575418994,12661,False,0.13
18,KSS해운,044450,10600,4.17,0.45,10.79136690647482,23452,False,0.73
19,화승알앤에이,378850,3600,2.11,0.45,21.32701421800948,7924,False,0.36
20,사조대림,003960,38550,3.35,0.46,13.73134328358209,83132,False,1.29
