티커,종목명,현재가,등락률(%),거래량비율,MA5,MA20,MA60,정배열,눌림목,장대양봉,망치형,전고돌파,PER,PBR,ROE(%),배당률(%),BPS,스윙점수,시그널,1차목표가,손절가
001510,SK증권,1215,29.95,5.77,978,843,718,True,False,True,False,True,0.0,0.92,0.0,0.08,1319,105,외+기관_동시매수 | 거래량5.8x | 정배열 | 장대양봉 | 전고돌파 | PBR0.92 | 배당0.1%,1300,843
123890,한국자산신탁,2860,2.69,2.56,2741,2585,2509,True,False,True,False,True,9.35,0.33,3.53,3.5,8546,105,외+기관_동시매수 | 거래량2.6x | 정배열 | 장대양봉 | 전고돌파 | PBR0.33 | 배당3.5%,3060,2585
004990,롯데지주,36050,7.13,2.99,33630,31157,28864,True,False,True,False,True,0.0,0.41,0.0,3.33,87305,105,외+기관_동시매수 | 거래량3.0x | 정배열 | 장대양봉 | 전고돌파 | PBR0.41 | 배당3.3%,38573,31157
003090,대웅,26950,5.27,2.45,25830,23985,23352,True,False,True,False,True,19.03,1.11,5.83,0.74,24370,105,외+기관_동시매수 | 거래량2.4x | 정배열 | 장대양봉 | 전고돌파 | PBR1.11 | 배당0.7%,28836,23985
180640,한진칼,136100,5.91,2.13,126200,121755,116125,True,False,True,False,True,18.31,2.85,15.57,0.26,47735,95,외+기관_동시매수 | 거래량2.1x | 정배열 | 장대양봉 | 전고돌파 | 배당0.3%,145627,121755
004800,효성,161900,7.93,3.01,152260,150720,135103,True,False,True,False,True,6.55,1.26,19.24,1.85,128947,95,외+기관_동시매수 | 거래량3.0x | 정배열 | 장대양봉 | 전고돌파 | 배당1.9%,173233,150720
015860,일진홀딩스,8230,6.06,3.01,7754,7497,7267,True,False,False,False,True,16.76,0.82,4.89,1.82,10068,90,외+기관_동시매수 | 거래량3.0x | 정배열 | 전고돌파 | PBR0.82 | 배당1.8%,8806,7497
003470,유안타증권,5040,7.12,3.84,4669,4325,3944,True,False,False,False,True,14.82,0.63,4.25,3.97,7953,90,외+기관_동시매수 | 거래량3.8x | 정배열 | 전고돌파 | PBR0.63 | 배당4.0%,5392,4325
030610,교보증권,14000,9.98,4.06,12836,11661,10201,True,False,False,False,True,13.42,0.8,5.96,3.57,17593,90,외+기관_동시매수 | 거래량4.1x | 정배열 | 전고돌파 | PBR0.80 | 배당3.6%,14980,11661
001500,현대차증권,10680,8.98,4.15,9812,9244,8468,True,False,False,False,True,11.41,0.36,3.16,1.69,30047,90,외+기관_동시매수 | 거래량4.2x | 정배열 | 전고돌파 | PBR0.36 | 배당1.7%,11427,9244
002900,TYM,8400,5.79,2.26,7744,7035,6579,True,False,False,False,True,19.81,0.88,4.44,1.31,9504,90,외+기관_동시매수 | 거래량2.3x | 정배열 | 전고돌파 | PBR0.88 | 배당1.3%,8988,7035
000320,노루홀딩스,25050,3.09,2.07,24300,22165,21783,True,False,False,False,True,5.18,0.56,10.81,2.2,44812,90,외+기관_동시매수 | 거래량2.1x | 정배열 | 전고돌파 | PBR0.56 | 배당2.2%,26803,22165
030210,다올투자증권,4440,7.12,4.08,4163,3892,3620,True,False,False,False,True,0.0,0.51,0.0,3.38,8710,90,외+기관_동시매수 | 거래량4.1x | 정배열 | 전고돌파 | PBR0.51 | 배당3.4%,4750,3892
003070,코오롱글로벌,10060,2.97,2.15,9722,9161,9204,False,False,True,False,True,8.19,0.33,4.03,3.98,30776,90,외+기관_동시매수 | 거래량2.2x | 장대양봉 | 전고돌파 | PBR0.33 | 배당4.0%,10764,9161
016610,DB증권,15360,11.63,3.07,13840,12790,11493,True,False,False,False,True,12.46,0.6,4.82,2.6,25569,90,외+기관_동시매수 | 거래량3.1x | 정배열 | 전고돌파 | PBR0.60 | 배당2.6%,16435,12790
175330,JB금융지주,34650,1.76,2.29,31990,26877,25444,True,False,False,False,True,10.08,1.18,11.71,2.87,29348,90,외+기관_동시매수 | 거래량2.3x | 정배열 | 전고돌파 | PBR1.18 | 배당2.9%,37075,26877
001200,유진투자증권,4780,8.02,4.35,4430,4053,3670,True,False,False,False,True,8.85,0.42,4.75,2.09,11448,90,외+기관_동시매수 | 거래량4.3x | 정배열 | 전고돌파 | PBR0.42 | 배당2.1%,5114,4053
